first,second,third,four,five,six,seven,eight,nine,ten,output
260,300,140,100,172.05,278.57,331.06,396.99,-76.75948008,174.64,"[0, 0, 1, 0]"
260,290,140,110,178.04,282.31,322.02,389.49,-79.9920202,164.92,"[0, 0, 1, 0]"
270,290,130,110,170.29,291.55,317.8,396.23,-83.29016319,162.79,"[0, 1, 0, 0]"
280,290,120,110,162.79,300.83,313.85,403.11,-86.63353934,161.25,"[0, 1, 0, 0]"
290,290,110,110,155.56,310.16,310.16,410.12,-90,160.31,"[0, 1, 0, 0]"
290,280,110,120,162.79,313.85,300.83,403.11,-93.36646066,150.33,"[0, 0, 1, 0]"
290,270,110,130,170.29,317.8,291.55,396.23,-96.70983681,140.36,"[0, 0, 1, 0]"
290,260,110,140,178.04,322.02,282.31,389.49,-100.0079798,130.38,"[0, 0, 1, 0]"
290,250,110,150,186.01,326.5,273.13,382.88,-103.2405199,120.42,"[0, 0, 1, 0]"
290,240,110,160,194.16,331.21,264.01,376.43,-106.3895403,110.45,"[0, 0, 1, 0]"
290,230,110,170,202.48,336.15,254.95,370.14,-109.4400348,100.5,"[0, 0, 1, 0]"
290,220,110,180,210.95,341.32,245.97,364.01,-112.3801351,90.55,"[0, 0, 1, 0]"
290,210,110,190,219.54,346.7,237.07,358.05,-115.2011236,80.62,"[0, 0, 1, 0]"
300,210,100,190,214.71,355.11,232.59,366.2,-117.897271,80,"[0, 1, 0, 0]"
300,200,100,200,223.61,360.56,223.61,360.56,-120.4655449,70,"[0, 0, 1, 0]"
300,190,100,210,232.59,366.2,214.71,355.11,-122.9052429,60,"[0, 0, 1, 0]"
300,180,100,220,241.66,372.02,205.91,349.86,-125.217593,50,"[0, 0, 1, 0]"
300,170,100,230,250.8,378.02,197.23,344.82,-127.4053566,40,"[0, 0, 1, 0]"
300,160,100,240,260,384.19,188.68,340,-129.4724598,30,"[0, 0, 1, 0]"
300,150,100,250,269.26,390.51,180.28,335.41,-131.4236656,20,"[0, 0, 1, 0]"
300,140,100,260,278.57,396.99,172.05,331.06,-133.2642954,10,"[0, 0, 1, 0]"
300,130,100,270,287.92,403.61,164.01,326.96,-135,0,"[0, 0, 1, 0]"
290,130,110,270,291.55,396.23,170.29,317.8,-122.6192431,100.5,"[0, 0, 0, 1]"
280,130,120,270,295.47,388.97,176.92,308.71,-120.9637565,110.45,"[0, 0, 0, 1]"
270,130,130,270,299.67,381.84,183.85,299.67,-119.2488263,120.42,"[0, 0, 0, 1]"
260,130,140,270,304.14,374.83,191.05,290.69,-117.4744316,130.38,"[0, 0, 0, 1]"
260,140,140,260,295.3,367.7,197.99,295.3,-115.6410058,130,"[1, 0, 0, 0]"
260,150,140,250,286.53,360.69,205.18,300.17,-113.7494945,130.38,"[1, 0, 0, 0]"
260,160,140,240,277.85,353.84,212.6,305.29,-111.8014095,131.53,"[1, 0, 0, 0]"
260,170,140,230,269.26,347.13,220.23,310.64,-109.7988764,133.42,"[1, 0, 0, 0]"
260,180,140,220,260.77,340.59,228.04,316.23,-107.7446716,136.01,"[1, 0, 0, 0]"
270,180,130,220,255.54,348.28,222.04,324.5,-109.7988764,126.49,"[0, 1, 0, 0]"
280,180,120,220,250.6,356.09,216.33,332.87,-111.8014095,117.05,"[0, 1, 0, 0]"
290,180,110,220,245.97,364.01,210.95,341.32,-113.7494945,107.7,"[0, 1, 0, 0]"
300,180,100,220,241.66,372.02,205.91,349.86,-115.6410058,98.49,"[0, 1, 0, 0]"
310,180,90,220,237.7,380.13,201.25,358.47,-117.4744316,89.44,"[0, 1, 0, 0]"
320,180,80,220,234.09,388.33,196.98,367.15,-119.2488263,80.62,"[0, 1, 0, 0]"
330,180,70,220,230.87,396.61,193.13,375.9,-120.9637565,72.11,"[0, 1, 0, 0]"
340,180,60,220,228.04,404.97,189.74,384.71,-122.6192431,64.03,"[0, 1, 0, 0]"
350,180,50,220,225.61,413.4,186.82,393.57,-124.2157021,56.57,"[0, 1, 0, 0]"
360,180,40,220,223.61,421.9,184.39,402.49,-125.7538873,50,"[0, 1, 0, 0]"
370,180,30,220,222.04,430.46,182.48,411.46,-127.234834,44.72,"[0, 1, 0, 0]"
380,180,20,220,220.91,439.09,181.11,420.48,-128.6598083,41.23,"[0, 1, 0, 0]"
390,180,10,220,220.23,447.77,180.28,429.53,-130.0302593,40,"[0, 1, 0, 0]"
390,170,10,230,230.22,452.77,170.29,425.44,-131.3477772,30,"[0, 0, 1, 0]"
390,160,10,240,240.21,457.93,160.31,421.54,-132.614056,20,"[0, 0, 1, 0]"
390,150,10,250,250.2,463.25,150.33,417.85,-133.8308607,10,"[0, 0, 1, 0]"
390,140,10,260,260.19,468.72,140.36,414.37,-135,0,"[0, 0, 1, 0]"
390,130,10,270,270.19,474.34,130.38,411.1,175.6012946,235.37,"[0, 0, 1, 0]"
390,120,10,280,280.18,480.1,120.42,408.04,175.7636052,245.15,"[0, 0, 1, 0]"
380,120,20,280,280.71,472.02,121.66,398.5,175.6012946,243.31,"[0, 0, 0, 1]"
370,120,30,280,281.6,464,123.69,388.97,175.4260787,241.87,"[0, 0, 0, 1]"
360,120,40,280,282.84,456.07,126.49,379.47,175.2363583,240.83,"[0, 0, 0, 1]"
350,120,50,280,284.43,448.22,130,370,175.0302593,240.21,"[0, 0, 0, 1]"
350,130,50,270,274.59,442.04,139.28,373.36,174.8055711,230.22,"[1, 0, 0, 0]"
350,140,50,260,264.76,436,148.66,376.96,174.559668,220.23,"[1, 0, 0, 0]"
350,150,50,250,254.95,430.12,158.11,380.79,174.2894069,210.24,"[1, 0, 0, 0]"
350,160,50,240,245.15,424.38,167.63,384.84,173.990994,200.25,"[1, 0, 0, 0]"
350,170,50,230,235.37,418.81,177.2,389.1,173.6598083,190.26,"[1, 0, 0, 0]"
350,180,50,220,225.61,413.4,186.82,393.57,173.2901632,180.28,"[1, 0, 0, 0]"
350,190,50,210,215.87,408.17,196.47,398.25,172.8749837,170.29,"[1, 0, 0, 0]"
350,200,50,200,206.16,403.11,206.16,403.11,172.4053566,160.31,"[1, 0, 0, 0]"
350,210,50,190,196.47,398.25,215.87,408.17,171.8698976,150.33,"[1, 0, 0, 0]"
350,220,50,180,186.82,393.57,225.61,413.4,171.2538377,140.36,"[1, 0, 0, 0]"
350,230,50,170,177.2,389.1,235.37,418.81,170.5376778,130.38,"[1, 0, 0, 0]"
350,240,50,160,167.63,384.84,245.15,424.38,169.6951535,120.42,"[1, 0, 0, 0]"
350,250,50,150,158.11,380.79,254.95,430.12,168.6900675,110.45,"[1, 0, 0, 0]"
350,260,50,140,148.66,376.96,264.76,436,167.4711923,100.5,"[1, 0, 0, 0]"
350,270,50,130,139.28,373.36,274.59,442.04,165.9637565,90.55,"[1, 0, 0, 0]"
350,280,50,120,130,370,284.43,448.22,164.0546041,80.62,"[1, 0, 0, 0]"
350,290,50,110,120.83,366.88,294.28,454.53,161.5650512,70.71,"[1, 0, 0, 0]"
350,300,50,100,111.8,364.01,304.14,460.98,158.1985905,60.83,"[1, 0, 0, 0]"
350,310,50,90,102.96,361.39,314.01,467.55,153.4349488,50.99,"[1, 0, 0, 0]"
350,320,50,80,94.34,359.03,323.88,474.24,146.3099325,41.23,"[1, 0, 0, 0]"
350,330,50,70,86.02,356.93,333.77,481.04,135,31.62,"[1, 0, 0, 0]"
350,340,50,60,78.1,355.11,343.66,487.95,116.5650512,22.36,"[1, 0, 0, 0]"
350,350,50,50,70.71,353.55,353.55,494.97,90,14.14,"[1, 0, 0, 0]"
350,360,50,40,64.03,352.28,363.46,502.1,63.43494882,10,"[1, 0, 0, 0]"
340,360,60,40,72.11,342.34,364.97,495.18,45,0,"[0, 0, 0, 1]"
330,360,70,40,80.62,332.42,366.74,488.36,81.86989765,336.15,"[0, 0, 0, 1]"
320,360,80,40,89.44,322.49,368.78,481.66,79.21570213,326.96,"[0, 0, 0, 1]"
310,360,90,40,98.49,312.57,371.08,475.08,76.60750225,317.8,"[0, 0, 0, 1]"
300,360,100,40,107.7,302.65,373.63,468.61,74.0546041,308.71,"[0, 0, 0, 1]"
290,360,110,40,117.05,292.75,376.43,462.28,71.56505118,299.67,"[0, 0, 0, 1]"
280,360,120,40,126.49,282.84,379.47,456.07,69.14554196,290.69,"[0, 0, 0, 1]"
270,360,130,40,136.01,272.95,382.75,450,66.80140949,281.78,"[0, 0, 0, 1]"
260,360,140,40,145.6,263.06,386.26,444.07,64.53665494,272.95,"[0, 0, 0, 1]"
250,360,150,40,155.24,253.18,390,438.29,62.35402464,264.2,"[0, 0, 0, 1]"
240,360,160,40,164.92,243.31,393.95,432.67,60.2551187,255.54,"[0, 0, 0, 1]"
230,360,170,40,174.64,233.45,398.12,427.2,58.24051992,246.98,"[0, 0, 0, 1]"
220,360,180,40,184.39,223.61,402.49,421.9,56.30993247,238.54,"[0, 0, 0, 1]"
210,360,190,40,194.16,213.78,407.06,416.77,54.46232221,230.22,"[0, 0, 0, 1]"
200,360,200,40,203.96,203.96,411.83,411.83,52.69605172,222.04,"[0, 0, 0, 1]"
190,360,210,40,213.78,194.16,416.77,407.06,51.00900596,214.01,"[0, 0, 0, 1]"
180,360,220,40,223.61,184.39,421.9,402.49,49.39870535,206.16,"[0, 0, 0, 1]"
170,360,230,40,233.45,174.64,427.2,398.12,47.86240523,198.49,"[0, 0, 0, 1]"
160,360,240,40,243.31,164.92,432.67,393.95,46.39718103,191.05,"[0, 0, 0, 1]"
150,360,250,40,253.18,155.24,438.29,390,45,183.85,"[0, 0, 0, 1]"
140,360,260,40,263.06,145.6,444.07,386.26,43.66778015,176.92,"[0, 0, 0, 1]"
130,360,270,40,272.95,136.01,450,382.75,42.3974378,170.29,"[0, 0, 0, 1]"
120,360,280,40,282.84,126.49,456.07,379.47,41.18592517,164.01,"[0, 0, 0, 1]"
110,360,290,40,292.75,117.05,462.28,376.43,40.03025927,158.11,"[0, 0, 0, 1]"
100,360,300,40,302.65,107.7,468.61,373.63,38.92754359,152.64,"[0, 0, 0, 1]"
90,360,310,40,312.57,98.49,475.08,371.08,37.87498365,147.65,"[0, 0, 0, 1]"
80,360,320,40,322.49,89.44,481.66,368.78,36.86989765,143.18,"[0, 0, 0, 1]"
70,360,330,40,332.42,80.62,488.36,366.74,35.90972308,139.28,"[0, 0, 0, 1]"
60,360,340,40,342.34,72.11,495.18,364.97,34.9920202,136.01,"[0, 0, 0, 1]"
50,360,350,40,352.28,64.03,502.1,363.46,34.11447295,133.42,"[0, 0, 0, 1]"
40,360,360,40,362.22,56.57,509.12,362.22,33.27488798,131.53,"[0, 0, 0, 1]"
30,360,370,40,372.16,50,516.24,361.25,32.47119229,130.38,"[0, 0, 0, 1]"
30,350,370,50,373.36,58.31,509.31,351.28,33.27488798,120.42,"[0, 0, 1, 0]"
30,340,370,60,374.83,67.08,502.49,341.32,34.11447295,110.45,"[0, 0, 1, 0]"
30,330,370,70,376.56,76.16,495.78,331.36,34.9920202,100.5,"[0, 0, 1, 0]"
30,320,370,80,378.55,85.44,489.18,321.4,35.90972308,90.55,"[0, 0, 1, 0]"
